Rule,3,4,5,6
0,6,120,5040,-
1,2,6,48,-
2,2,6,72,-
3,1,4,2,48
4,2,12,24,25920
5,1,2,2,144
6,1,4,2,24
7,1,1,1,1
8,1,4,48,-
9,1,2,6,24
10,2,2,12,576
11,2,1,12,8
12,2,2,12,192
13,2,4,4,8
14,2,1,2,4
15,8,16,384,-
16,2,6,72,-
17,1,4,2,48
18,1,2,12,288
19,1,1,1,8
20,1,4,2,24
21,1,1,1,1
22,1,2,1,2
23,2,4,4,8
24,2,1,4,384
25,2,1,2,1
26,2,1,1,8
27,8,2,2,8
28,2,1,1,2
29,8,8,16,192
30,1,1,1,1
31,1,1,1,1
32,1,2,6,144
33,1,1,1,12
34,2,2,12,192
35,2,2,2,16
36,2,1,4,16
37,2,1,2,4
38,2,1,2,4
39,8,2,2,8
40,2,1,2,8
41,1,2,2,2
42,2,4,12,-
43,4,4,8,192
44,2,2,1,4
45,4,1,12,2
46,2,2,4,72
47,2,1,12,8
48,2,2,12,192
49,2,2,2,16
50,2,1,2,4
51,8,16,384,-
52,2,1,2,4
53,8,2,2,8
54,1,2,1,2
55,1,1,1,8
56,2,1,2,4
57,4,4,4,8
58,2,4,2,1
59,2,2,2,16
60,2,2,3,16
61,2,1,2,1
62,1,1,3,2
63,1,4,2,48
64,1,4,48,-
65,1,2,6,24
66,2,1,4,384
67,2,1,2,1
68,2,2,12,192
69,2,4,4,8
70,2,1,1,2
71,8,8,16,192
72,2,2,4,72
73,1,2,2,4
74,2,1,3,8
75,4,1,12,2
76,2,4,12,-
77,4,4,16,16
78,2,1,1,1
79,2,4,4,8
80,2,2,12,576
81,2,1,12,8
82,2,1,1,8
83,8,2,2,8
84,2,1,2,4
85,8,16,384,-
86,1,1,1,1
87,1,1,1,1
88,2,1,3,8
89,4,1,12,2
90,2,2,3,576
91,2,1,2,4
92,2,1,1,1
93,2,4,4,8
94,1,2,1,4
95,1,2,2,144
96,2,1,2,8
97,1,2,2,2
98,2,1,2,4
99,4,4,4,8
100,2,2,1,4
101,4,1,12,2
102,2,2,3,16
103,2,1,2,1
104,1,12,1,12
105,2,48,12,192
106,1,4,2,48
107,1,2,2,2
108,1,6,2,16
109,1,2,2,4
110,1,2,2,1
111,1,2,6,24
112,2,4,12,-
113,4,4,8,192
114,2,4,2,1
115,2,2,2,16
116,2,2,4,72
117,2,1,12,8
118,1,1,3,2
119,1,4,2,48
120,1,4,2,48
121,1,2,2,2
122,1,1,1,4
123,1,1,1,12
124,1,2,2,1
125,1,2,6,24
126,2,2,4,48
127,2,6,48,-
128,2,2,4,720
129,2,2,4,48
130,2,2,2,24
131,1,1,3,2
132,2,4,4,12
133,1,2,1,4
134,1,6,2,4
135,1,1,1,1
136,1,1,1,4
137,1,2,2,1
138,2,4,12,96
139,2,2,4,72
140,2,6,2,12
141,2,1,1,1
142,4,12,8,192
143,2,1,2,4
144,2,2,2,24
145,1,1,3,2
146,1,2,2,2
147,1,2,1,2
148,1,6,2,4
149,1,1,1,1
150,2,48,36,192
151,1,2,1,2
152,2,2,2,2
153,2,2,3,16
154,4,2,16,128
155,2,1,2,4
156,4,4,4,8
157,2,1,1,2
158,1,6,2,4
159,1,4,2,24
160,1,2,1,48
161,1,1,1,4
162,2,4,2,4
163,2,4,2,1
164,2,1,1,36
165,2,2,3,576
166,4,2,16,128
167,2,1,1,8
168,2,6,6,120
169,1,4,2,48
170,24,720,40320,-
171,2,4,12,8640
172,24,4,2,24
173,2,1,3,8
174,2,4,12,96
175,2,2,12,576
176,2,4,2,4
177,2,4,2,1
178,4,12,16,16
179,2,1,2,4
180,4,2,16,128
181,2,1,1,8
182,1,2,2,2
183,1,2,12,288
184,24,24,48,2880
185,2,1,2,4
186,2,4,2,4
187,2,2,12,192
188,2,2,2,2
189,2,1,4,384
190,2,2,2,24
191,2,6,72,-
192,1,1,1,4
193,1,2,2,1
194,2,2,2,2
195,2,2,3,16
196,2,6,2,12
197,2,1,1,1
198,4,4,4,8
199,2,1,1,2
200,2,12,12,1152
201,1,6,2,16
202,24,4,2,24
203,2,2,1,4
204,24,720,40320,-
205,2,4,12,1440
206,2,6,2,12
207,2,2,12,192
208,2,4,12,96
209,2,2,4,72
210,4,2,16,128
211,2,1,2,4
212,4,12,8,192
213,2,1,2,4
214,1,6,2,4
215,1,4,2,24
216,24,4,2,24
217,2,2,1,4
218,2,1,1,36
219,2,1,4,16
220,2,6,2,12
221,2,2,12,192
222,2,4,4,12
223,2,12,24,-
224,2,6,6,120
225,1,4,2,48
226,24,24,48,2880
227,2,1,2,4
228,24,4,2,24
229,2,1,3,8
230,2,2,2,2
231,2,1,4,384
232,2,4,4,24
233,1,12,1,-
234,2,6,6,120
235,2,1,2,8
236,2,12,12,1152
237,2,2,4,72
238,1,1,1,4
239,1,4,48,-
240,24,720,40320,-
241,2,4,12,8640
242,2,4,2,4
243,2,2,12,192
244,2,4,12,96
245,2,2,12,576
246,2,2,2,24
247,2,6,72,-
248,2,6,6,120
249,2,1,2,8
250,1,2,1,48
251,1,2,6,144
252,1,1,1,4
253,1,4,48,-
254,2,2,4,720
255,6,120,5040,-
